Method,Time (ms),Memory (KiB),File Size (KiB),Offset (KiB),Insert Size (KiB),Chunk Size (KiB)
unbuffered,1.931394,100.000,100.000,4.000,4.000,4.000
buffered,2.034723,8.000,100.000,4.000,4.000,4.000
fallocate,1.569429,4.000,100.000,4.000,4.000,4.000
smartfiles,1.676576,4.000,100.000,4.000,4.000,4.000
unbuffered,1.446076,100.000,100.000,4.000,4.000,4.000
buffered,1.313505,8.000,100.000,4.000,4.000,4.000
fallocate,1.163013,4.000,100.000,4.000,4.000,4.000
smartfiles,1.641765,4.000,100.000,4.000,4.000,4.000
unbuffered,1.620198,100.000,100.000,4.000,4.000,4.000
buffered,1.587566,8.000,100.000,4.000,4.000,4.000
fallocate,1.196619,4.000,100.000,4.000,4.000,4.000
smartfiles,1.798986,4.000,100.000,4.000,4.000,4.000
unbuffered,1.789222,104.000,100.000,4.000,8.000,4.000
buffered,1.506210,12.000,100.000,4.000,8.000,4.000
fallocate,1.475552,8.000,100.000,4.000,8.000,4.000
smartfiles,1.635491,8.000,100.000,4.000,8.000,4.000
unbuffered,1.443723,192.000,100.000,4.000,96.000,4.000
buffered,1.786571,100.000,100.000,4.000,96.000,4.000
fallocate,1.534941,96.000,100.000,4.000,96.000,4.000
smartfiles,2.620382,96.000,100.000,4.000,96.000,4.000
unbuffered,4.501529,1076.000,100.000,4.000,980.000,4.000
buffered,4.180740,984.000,100.000,4.000,980.000,4.000
fallocate,4.371876,980.000,100.000,4.000,980.000,4.000
smartfiles,12.469955,980.000,100.000,4.000,980.000,4.000
unbuffered,34.101508,9864.000,100.000,4.000,9768.000,4.000
buffered,21.034130,9772.000,100.000,4.000,9768.000,4.000
fallocate,20.587437,9768.000,100.000,4.000,9768.000,4.000
smartfiles,114.990453,9768.000,100.000,4.000,9768.000,4.000
unbuffered,176.610344,97756.000,100.000,4.000,97660.000,4.000
buffered,183.357901,97664.000,100.000,4.000,97660.000,4.000
fallocate,174.268633,97660.000,100.000,4.000,97660.000,4.000
smartfiles,1502.118794,97660.000,100.000,4.000,97660.000,4.000
unbuffered,1725.612966,976672.000,100.000,4.000,976576.000,4.000
buffered,1744.670400,976580.000,100.000,4.000,976576.000,4.000
fallocate,1763.532024,976576.000,100.000,4.000,976576.000,4.000
smartfiles,18584.263349,976576.000,100.000,4.000,976576.000,4.000
unbuffered,2.053622,100.000,100.000,4.000,4.000,4.000
buffered,1.742517,8.000,100.000,4.000,4.000,4.000
fallocate,2.026984,4.000,100.000,4.000,4.000,4.000
smartfiles,16.487848,4.000,100.000,4.000,4.000,4.000
unbuffered,1.542818,100.000,100.000,4.000,4.000,4.000
buffered,2.011733,8.000,100.000,4.000,4.000,4.000
fallocate,1.555828,4.000,100.000,4.000,4.000,4.000
smartfiles,1.820870,4.000,100.000,4.000,4.000,4.000
unbuffered,1.787078,100.000,100.000,4.000,4.000,4.000
buffered,1.501155,8.000,100.000,4.000,4.000,4.000
fallocate,1.373290,4.000,100.000,4.000,4.000,4.000
smartfiles,15.763783,4.000,100.000,4.000,4.000,4.000
unbuffered,1.618414,104.000,100.000,4.000,8.000,4.000
buffered,2.026415,12.000,100.000,4.000,8.000,4.000
fallocate,1.268396,8.000,100.000,4.000,8.000,4.000
smartfiles,1.718320,8.000,100.000,4.000,8.000,4.000
unbuffered,2.040766,192.000,100.000,4.000,96.000,4.000
buffered,16.136732,100.000,100.000,4.000,96.000,4.000
fallocate,1.798195,96.000,100.000,4.000,96.000,4.000
smartfiles,3.338152,96.000,100.000,4.000,96.000,4.000
unbuffered,19.756188,1076.000,100.000,4.000,980.000,4.000
buffered,19.614235,984.000,100.000,4.000,980.000,4.000
fallocate,23.047421,980.000,100.000,4.000,980.000,4.000
smartfiles,58.832980,980.000,100.000,4.000,980.000,4.000
unbuffered,171.340027,9864.000,100.000,4.000,9768.000,4.000
buffered,177.162540,9772.000,100.000,4.000,9768.000,4.000
fallocate,164.569295,9768.000,100.000,4.000,9768.000,4.000
smartfiles,474.509547,9768.000,100.000,4.000,9768.000,4.000
unbuffered,1736.083676,97756.000,100.000,4.000,97660.000,4.000
buffered,2032.488882,97664.000,100.000,4.000,97660.000,4.000
fallocate,1707.796761,97660.000,100.000,4.000,97660.000,4.000
smartfiles,5433.197378,97660.000,100.000,4.000,97660.000,4.000
unbuffered,1753.401576,976672.000,100.000,4.000,976576.000,4.000
buffered,7880.685246,976580.000,100.000,4.000,976576.000,4.000
fallocate,6187.826002,976576.000,100.000,4.000,976576.000,4.000
smartfiles,25220.853716,976576.000,100.000,4.000,976576.000,4.000
unbuffered,2.002885,96.000,100.000,8.000,4.000,4.000
buffered,1.423190,8.000,100.000,8.000,4.000,4.000
fallocate,1.389182,4.000,100.000,8.000,4.000,4.000
smartfiles,2.101473,4.000,100.000,8.000,4.000,4.000
unbuffered,16.295685,96.000,100.000,8.000,4.000,4.000
buffered,1.929143,8.000,100.000,8.000,4.000,4.000
fallocate,1.532804,4.000,100.000,8.000,4.000,4.000
smartfiles,2.184985,4.000,100.000,8.000,4.000,4.000
unbuffered,1.615222,96.000,100.000,8.000,4.000,4.000
buffered,1.565634,8.000,100.000,8.000,4.000,4.000
fallocate,1.522428,4.000,100.000,8.000,4.000,4.000
smartfiles,2.709873,4.000,100.000,8.000,4.000,4.000
unbuffered,15.679351,100.000,100.000,8.000,8.000,4.000
buffered,1.774207,12.000,100.000,8.000,8.000,4.000
fallocate,1.539029,8.000,100.000,8.000,8.000,4.000
smartfiles,1.843146,8.000,100.000,8.000,8.000,4.000
unbuffered,6.262743,188.000,100.000,8.000,96.000,4.000
buffered,19.117397,100.000,100.000,8.000,96.000,4.000
fallocate,5.425977,96.000,100.000,8.000,96.000,4.000
smartfiles,3.099463,96.000,100.000,8.000,96.000,4.000
unbuffered,23.833233,1072.000,100.000,8.000,980.000,4.000
buffered,32.896844,984.000,100.000,8.000,980.000,4.000
fallocate,19.564540,980.000,100.000,8.000,980.000,4.000
smartfiles,44.503289,980.000,100.000,8.000,980.000,4.000
unbuffered,161.391904,9860.000,100.000,8.000,9768.000,4.000
buffered,168.581049,9772.000,100.000,8.000,9768.000,4.000
fallocate,173.033433,9768.000,100.000,8.000,9768.000,4.000
smartfiles,463.818486,9768.000,100.000,8.000,9768.000,4.000
